ID,comp1,Loading,mz,RT,Corr_ID,Compound_Name
3793,4.375970787360114,-0.05118882311509753,162.05510778841352,2.8348877,55,Spectral Match to Indole-2-carboxylic acid from NIST14
3798,4.005200282970079,0.04685165847489055,493.28150521425334,2.8487637,76,NA
1710,3.862198157660578,0.04517886154519097,270.19264428881706,1.5897073,31,NA
683,3.7952450164316405,0.044395663331604225,241.15465325829115,0.71513647,388,"N,N-dimethyl-proline-proline betaine"
1744,3.7496187167489063,0.04386194025680626,281.14972075162876,1.40348,84,NA
7100,3.7390500055156846,-0.04373831057183793,293.24739201184053,5.075865,NA,"Spectral Match to 9Z,11E,13E-Octadecatrienoic acid methyl ester from NIST14"
340,3.726936992013084,0.04359661609175447,229.15475976853617,0.54266185,388,229 TMAP based onhttps://pubs.acs.org/doi/abs/10.1021/acs.analchem.1c04378
2665,3.6828346321635985,0.04308071961826462,346.1157083233868,2.2129767,433,NA
490,3.636445474144709,0.04253807285034143,229.15475824912983,0.6029691,388,NA
629,3.6283378547588576,0.04244323229614357,229.15475081461233,0.6826961,388,229 TMAP based onhttps://pubs.acs.org/doi/abs/10.1021/acs.analchem.1c04378
3524,3.626312377833958,0.042419538861001846,365.1557428184513,2.6797512,509,NA
7280,3.625825768787954,0.0424138466510689,513.3196400425935,5.2099075,141,NA
529,3.600068592403369,0.04211254675443721,241.1546355955867,0.6293957,388,"N,N-dimethyl-proline-proline betaine"
7284,3.586953470105392,-0.041959129899511394,499.33766975510304,5.1516476,451,NA
6391,3.5473077810091267,0.04149536625367382,410.29020921345693,4.6328516,355,NA
1531,3.5467032014359217,0.04148829405910588,281.1497173316909,1.3644464,84,NA
7258,3.5133377864626865,-0.04109799521840976,293.24735654184235,5.238387,2,Spectral Match to 13(S)-HODE methyl ester from NIST14
331,3.5055944472588076,0.04100741590696361,280.1392260909435,0.53150845,205,NA
316,3.4476721505200025,0.040329857864129515,241.1546262640472,0.57513356,388,NA
